id,name,weight,height,experience,active,status,position,age,team,stats_log,url
3042910,Rashard Higgins,198.0,73.0,7,True,FA,1,30.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3042910?lang=en&region=us
4239993,Tee Higgins,219.0,76.0,5,True,Active,1,25.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4239993?lang=en&region=us
4037433,Jake Herslow,185.0,72.0,0,True,FA,1,,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4037433?lang=en&region=us
4373673,John Hightower,190.0,74.0,2,True,FA,1,28.0,24,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4373673?lang=en&region=us
3676818,TreVontae Hights,195.0,75.0,0,True,FA,1,27.0,29,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3676818?lang=en&region=us
4578462,OJ Hiliare,185.0,72.0,0,True,FA,1,23.0,1,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4578462?lang=en&region=us
4361787,Trey Hill,310.0,76.0,4,True,Active,4,24.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4361787?lang=en&region=us
3116406,Tyreek Hill,191.0,70.0,9,True,Active,1,30.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3116406?lang=en&region=us
3915522,KJ Hill Jr.,196.0,72.0,2,True,FA,1,27.0,24,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3915522?lang=en&region=us
14924,T.Y. Hilton,183.0,69.0,11,True,FA,1,34.0,6,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/14924?lang=en&region=us
3700815,Kendall Hinton,195.0,72.0,3,True,FA,1,27.0,7,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3700815?lang=en&region=us
4259597,Mac Hippenhammer,177.0,71.0,0,True,FA,1,25.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4259597?lang=en&region=us
4051829,Changa Hodge,207.0,73.0,0,True,FA,1,,22,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4051829?lang=en&region=us
3047876,KhaDarel Hodge,208.0,74.0,5,True,Active,1,29.0,1,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3047876?lang=en&region=us
4242540,Isaiah Hodgins,200.0,75.0,4,True,Practice Squad,1,26.0,19,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4242540?lang=en&region=us
4241087,Brock Hoffman,302.0,76.0,2,True,Active,4,25.0,6,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4241087?lang=en&region=us
4198679,Krishawn Hogan,220.0,75.0,3,True,FA,1,29.0,29,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4198679?lang=en&region=us
4032644,Cyrus Holder,190.0,76.0,0,True,FA,1,,3,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4032644?lang=en&region=us
4249496,Alexander Hollins,166.0,72.0,1,True,FA,1,27.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4249496?lang=en&region=us
2991662,Mack Hollins,221.0,76.0,8,True,Active,1,31.0,2,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2991662?lang=en&region=us
3115443,Cody Hollister,216.0,76.0,3,True,FA,1,30.0,10,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3115443?lang=en&region=us
4259174,Gavin Holmes,200.0,71.0,0,True,FA,1,26.0,10,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4259174?lang=en&region=us
15795,DeAndre Hopkins,212.0,73.0,11,True,Active,1,32.0,10,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/15795?lang=en&region=us
17172,Trey Hopkins,316.0,75.0,6,True,FA,4,32.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/17172?lang=en&region=us
2989641,Reece Horn,215.0,75.0,1,True,FA,1,31.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2989641?lang=en&region=us
4572786,Dennis Houston,198.0,73.0,1,True,FA,1,25.0,19,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4572786?lang=en&region=us
4426489,Bryan Hudson,301.0,77.0,0,True,Practice Squad,4,23.0,17,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4426489?lang=en&region=us
4429867,Tyler Hudson,197.0,74.0,0,True,FA,1,24.0,14,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4429867?lang=en&region=us
4241385,Creed Humphrey,302.0,76.0,4,True,Active,4,25.0,12,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4241385?lang=en&region=us
4039057,Lil'Jordan Humphrey,225.0,76.0,5,True,Active,1,26.0,7,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4039057?lang=en&region=us
2576491,Adam Humphries,195.0,71.0,8,True,FA,1,31.0,34,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2576491?lang=en&region=us
2971563,Joey Hunt,299.0,74.0,5,True,FA,4,30.0,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2971563?lang=en&region=us
3115328,Jalen Hurd,230.0,77.0,4,True,Active,1,28.0,17,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3115328?lang=en&region=us
17177,Allen Hurns,195.0,75.0,7,True,FA,1,32.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/17177?lang=en&region=us
4683123,John Hurst,190.0,74.0,2,True,FA,1,27.0,11,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4683123?lang=en&region=us
