id,name,abbreviation,week,year,home,away,url,pbp_url
401671864,Dolphins v Colts,MIA v IND,7,2024,11,15,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671864,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671864/competitions/401671864/plays?limit=300
401671724,Lions v Vikings,DET v MIN,7,2024,16,8,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671724,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671724/competitions/401671724/plays?limit=300
401671663,Raiders v Rams,LV v LAR,7,2024,14,13,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671663,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671663/competitions/401671663/plays?limit=300
401671640,Panthers v Commanders,CAR v WSH,7,2024,28,29,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671640,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671640/competitions/401671640/plays?limit=300
401671777,Chiefs v 49ers,KC v SF,7,2024,25,12,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671777,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671777/competitions/401671777/plays?limit=300
401671785,Jets v Steelers,NYJ v PIT,7,2024,23,20,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671785,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671785/competitions/401671785/plays?limit=300
401671817,Vikings v Rams,MIN v LAR,8,2024,14,16,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671817,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671817/competitions/401671817/plays?limit=300
401671852,Ravens v Browns,BAL v CLE,8,2024,5,33,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671852,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671852/competitions/401671852/plays?limit=300
401671720,Titans v Lions,TEN v DET,8,2024,8,10,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671720,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671720/competitions/401671720/plays?limit=300
401671850,Cardinals v Dolphins,ARI v MIA,8,2024,15,22,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671850,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671850/competitions/401671850/plays?limit=300
